//* The part before the ";" is the title, after it the description

0;陌生人;你好。你想在这些寒冷的废墟中幸存下来吗？
4*64;认识;你的出现并没有被忽视。保持和平，我们也会这样做。
8*64;熟悉的面孔;我们以前在这儿见过你。请随意待一会儿，热热身。
16*64;常客;我们很高兴再次见到你，$name。
32*64;同属幸存者;啊，很高兴看到你还活着，活得很好！
64*64;最受欢迎的商人;这里的每个人都很高兴见到你。这次你带来什么令人兴奋的事了吗？
2*64*64;村庄之友;你已经证明了自己是一个值得称道的伴侣。你可以在这里找到很多朋友，$name。
4*64*64;血亲兄弟;你做了很多事情来帮助我们，我们很高兴回报你的努力。你有我们的信任。
8*64*64;我们的一份子;圣灵赐福我们与你同在。他们已经宣布你是我们家庭的一员，我觉得他们做出了正确的选择。
32*64*64;天生领袖;$name，你赢得了因纽特人的信任和尊重。他们会跟着你到任何地方。
-64;滋扰者;拜托，我们没有时间和你这样的人在一起。
-4*64;令人讨厌的外来人;我们对像你这样的人很谨慎。走开，让我们安静下来。
-16*64;公敌;我们给了你们很多机会与我们沟通，但你们回避了我们的努力。离开我们，希望灵魂不带走你，就像你在冰冻的荒野中徘徊。
