//* The part before the ";" is the title, after it the description

0;陌生人;我们不常在这个偏远村庄见到外来人。
4*64; 认识;到目前为止，你尚没有严重违反任何传统。
8*64; 熟悉的面孔; 你似乎给我们很多人留下了好印象。继续，我们都会受益。
16*64;常客; Namaste（印度语问好），$name！有什么特别的消息吗？
32*64;同邻; 虽然你并不完美，但我们承认你是一个好邻居。我们喜欢你的陪伴。
64*64;最受欢迎的商人;欢迎回来，$name。<ret>有什么可以跟我们交易的东西吗？
2*64*64;村庄之友; $name，我们认为你是我们真正的朋友。
4*64*64;真正的盟友; 你是这个村庄里真正的盟友！如果你需要避难，你可以留在我们的村庄里。
8*64*64;我们的一份子;我从没想过在活着的时候会看见外国人受村里人接受，<ret>但$name，你现在是我们的一份子了！
32*64*64;天生领袖;$name，你已经获得了我族人民的信任和尊重.<ret>我们会追随你到任何地方。
4*32*64*64;超越Rajput; 印度人非常高兴你想和他们待在一起，帮助他们奋斗！如果你们没有注意到，我们已经创造了另外5种令人惊叹的文化，这可能会给你带来更好的回报，而不是一个无聊和令人失望的信息。
-64;滋扰者;我们不喜欢有外国人在这里，<ret>尤其是你那种类型。
-4*64;令人讨厌的外来人;养大你的人没教导过你吧。<ret>我们希望你不久后消失。
-16*64;公敌;每天早上我都向神祈求永远不要在看到你这张脸。
