0;Незнакомец;Приветствуем тебя. Вы хотите помочь нам выжить в этих ледяных пустошах?
4*64;Узнаваемый;Твоё присутствие не осталось незамеченным. Оставайся мирным и мы сделаем то же самое.
8*64;Известное лицо;Мы видели тебя здесь раньше. Не стесняйся остаться на некоторое время и согреться.
16*64;Постоянный посетитель; Мы рады видеть тебя снова, $name.
32*64;Выживший товарищ;Ах, приятно видеть, что ты всё ещё жив и неплохо выживаешь!
64*64;Популярный торговец;Все здесь рады видеть тебя. Принёс ли ты что-нибудь интересное на этот раз?
2*64*64;Друг поселения;Ты показал себя достойным компаньоном. Здесь ты можешь найти много друзей, $name.
4*64*64;Названный брат;Ты многое сделал для того, чтобы помочь нам, и мы с радостью окупим твои усилия.Мы полностью тебе доверяем.
8*64*64;Один из нас;Духи благословили нас с тобой. Они объявили, что ты теперь часть нашей семьи, и я чувствую, что они сделали правильный выбор.
32*64*64;Истинный лидер;$name, ты заслужил доверие и уважение моего народа. Они последуют за тобой куда угодно.
-64;Неприятный человек;Прости, но у нас нет времени для таких, как ты.
-4*64;Отвратительный посторонний;Мы опасаемся таких людей, как ты. Просто уйди и оставь нас в покое.
-16*64;Враг;Мы давали тебе много шансов пообщаться с нами, но ты не обращал внимания на наши усилия. Оставь нас в покое и надейся, что духи не тронут тебя, пока ты бродишь по замерзшим пустошам.
