
0;Незнакомец;Мы не привыкли к чужим в нашем поселении.
4*64;Узнаваемый;Пока ты не совершил каких-либо серьезных нарушений обычаев.
8*64;Известное лицо;Похоже, ты произвел хорошее впечатление на многих из нас. Продолжай, и мы оба выиграем.
16*64;Постоянный посетитель;Намасте, $name! Какие новости ты принес?
32*64;Товарищ сосед;Хотя вы не совершенны, мы признаем, что вы были хорошим соседом $name-жи. Нам нравится ваша компания.
64*64;Популярный торговец;С возвращением, $name. Что за товары у тебя для нас?
2*64*64;Друг поселения;$name-жи, мы все считаем тебя истинным другом.
4*64*64;Истинный союзник;Вы настоящий союзник этой деревни $name-жи! Если вам когда-нибудь понадобится убежище, вы можете остаться в нашей деревне.
8*64*64;Один из нас;Я не думал, что доживу до того, что кто-либо из чужеземцев будет общепринят в нашем поселении, но $name-жи, теперь ты один из нас!
32*64*64;Истинный лидер;$name-жи, ты заслужил доверие и уважение моих людей. Они последуют за тобой всюду. 
4*32*64*64;Превосходный раджпут;Индийский народ очень рад, что вы захотели остаться с ним и помочь им в их борьбе! В случае, если вы не заметили, мы создали 5 других удивительных культур, которые, вероятно, дадут вам лучшую награду, чем это тусклое и разочаровывающее сообщение.
-64;Неприятный человек;Мы не любим чужих здесь, особенно таких как ты.
-4*64;Отвратительный посторонний;Как мы поняли, твои поступки очень плохи. Мы надеемся, что ты уйдешь отсюда как можно скорее.
-16*64;Враг;Каждое утро я молюсь Богине, чтобы больше никогда не видеть твоей мерзкой рожи.
